id,user_type_id/id,reconcile,nocreate,code,name
l10n_nsm.a_root,l10n_nsm.user_type_view_depcrecated,False,False,0,NSM STANDAARD GROOTBOEKSCHEMA
l10n_nsm.a_0,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 0,"VASTE ACTIVA, EIGEN VERMOGEN, LANGLOPEND VREEMD VERMOGEN EN VOORZIENINGEN"
l10n_nsm.a_00,l10n_nsm.user_type_view_depcrecated,False,False,0,IMMATERIELE ACTIVA
l10n_nsm.a_01,l10n_nsm.user_type_view_depcrecated,False,False,1,ONROERENDE GOEDEREN
l10n_nsm.a_02,l10n_nsm.user_type_view_depcrecated,False,False,2,MACHINES/INVENTARIS/ICT
l10n_nsm.a_020,l10n_nsm.user_type_view_depcrecated,False,False,20,MACHINES
l10n_nsm.a_023,l10n_nsm.user_type_view_depcrecated,False,False,23,VERBOUWING
l10n_nsm.a_025,l10n_nsm.user_type_view_depcrecated,False,False,25,INVENTARIS/ICT
l10n_nsm.a_03,l10n_nsm.user_type_view_depcrecated,False,False,3,VERVOERMIDDELEN
l10n_nsm.a_05,l10n_nsm.user_type_view_depcrecated,False,False,5,FINANCIELE VASTE ACTIVA EN LANGLOPENDE VORDERINGEN
l10n_nsm.a_050,l10n_nsm.user_type_view_depcrecated,False,False,50,FINANCIELE VASTE ACTIVA
l10n_nsm.a_055,l10n_nsm.user_type_view_depcrecated,False,False,55,LANGLOPENDE VORDERINGEN
l10n_nsm.a_06,l10n_nsm.user_type_view_depcrecated,False,False,6,EIGEN VERMOGEN
l10n_nsm.a_07,l10n_nsm.user_type_view_depcrecated,False,False,7,VOORZIENINGEN
l10n_nsm.a_08,l10n_nsm.user_type_view_depcrecated,False,False,8,LANGLOPENDE SCHULDEN EN AFLOSSINGEN
l10n_nsm.a_080,l10n_nsm.user_type_view_depcrecated,False,False,80,LANGLOPENDE SCHULDEN
l10n_nsm.a_086,l10n_nsm.user_type_view_depcrecated,False,False,86,AFLOSSINGEN
l10n_nsm.a_1,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 1,"FINANCIELE REKENINGEN, KORTLOPENDE VORDERINGEN EN SCHULDEN"
l10n_nsm.a_10,l10n_nsm.user_type_view_depcrecated,False,False,10,LIQUIDE MIDDELEN
l10n_nsm.a_13,l10n_nsm.user_type_view_depcrecated,False,False,13,VORDERINGEN
l10n_nsm.a_15,l10n_nsm.user_type_view_depcrecated,False,False,15,KORTLOPENDE SCHULDEN
l10n_nsm.a_2,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 2,TUSSENREKENINGEN
l10n_nsm.a_3,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 3,"VOORRAAD GRONDSTOFFEN, ONDERHANDEN WERK"
l10n_nsm.a_4,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 4,INDIRECTE KOSTEN
l10n_nsm.a_40,l10n_nsm.user_type_view_depcrecated,False,False,40,PERSONEELSKOSTEN
l10n_nsm.a_400,l10n_nsm.user_type_view_depcrecated,False,False,400,SALARISKOSTEN
l10n_nsm.a_41,l10n_nsm.user_type_view_depcrecated,False,False,41,HUISVESTINGSKOSTEN
l10n_nsm.a_42,l10n_nsm.user_type_view_depcrecated,False,False,42,BEDRIJFSKOSTEN
l10n_nsm.a_43,l10n_nsm.user_type_view_depcrecated,False,False,43,KANTOORKOSTEN
l10n_nsm.a_435,l10n_nsm.user_type_view_depcrecated,False,False,435,IT KOSTEN
l10n_nsm.a_44,l10n_nsm.user_type_view_depcrecated,False,False,44,VERVOERSKOSTEN
l10n_nsm.a_45,l10n_nsm.user_type_view_depcrecated,False,False,45,VERKOOPKOSTEN
l10n_nsm.a_46,l10n_nsm.user_type_view_depcrecated,False,False,46,ALGEMENE KOSTEN
l10n_nsm.a_47,l10n_nsm.user_type_view_depcrecated,False,False,47,FINANCIERINGSKOSTEN
l10n_nsm.a_48,l10n_nsm.user_type_view_depcrecated,False,False,48,AFSCHRIJVINGEN
l10n_nsm.a_49,l10n_nsm.user_type_view_depcrecated,False,False,49,OVERIGE BATEN EN LASTEN
l10n_nsm.a_5,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 5,TRANSACTIES DERDEN
l10n_nsm.a_6,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 6,FABRIKAGEREKENINGEN
l10n_nsm.a_7,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 7,DIRECTE KOSTEN
l10n_nsm.a_70,l10n_nsm.user_type_view_depcrecated,False,False,70,TECHNISCHE  KOSTEN
l10n_nsm.a_71,l10n_nsm.user_type_view_depcrecated,False,False,71,EXTERN REDACTIE
l10n_nsm.a_72,l10n_nsm.user_type_view_depcrecated,False,False,72,ROYALTIES
l10n_nsm.a_73,l10n_nsm.user_type_view_depcrecated,False,False,73,MARKETING ABO
l10n_nsm.a_74,l10n_nsm.user_type_view_depcrecated,False,False,74,MARKETING RETAIL
l10n_nsm.a_75,l10n_nsm.user_type_view_depcrecated,False,False,75,MARKETING OVERIG
l10n_nsm.a_76,l10n_nsm.user_type_view_depcrecated,False,False,76,DISTRIBUTIE ABO
l10n_nsm.a_77,l10n_nsm.user_type_view_depcrecated,False,False,77,DISTRIBUTIE RETAIL
l10n_nsm.a_78,l10n_nsm.user_type_view_depcrecated,False,False,78,COST OF SALES
l10n_nsm.a_79,l10n_nsm.user_type_view_depcrecated,False,False,79,EVENTS
l10n_nsm.a_8,l10n_nsm.user_type_view_depcrecated,False,False,RUBRIEK 8,OMZET
l10n_nsm.a_80,l10n_nsm.user_type_view_depcrecated,False,False,80,OMZET ADVERTENTIEMARKT
l10n_nsm.a_801,l10n_nsm.user_type_view_depcrecated,False,False,801,ADVERTENTIES
l10n_nsm.a_803,l10n_nsm.user_type_view_depcrecated,False,False,803,RUBRIEKSADVERTENTIES
l10n_nsm.a_806,l10n_nsm.user_type_view_depcrecated,False,False,806,BARTEROMZET
l10n_nsm.a_81,l10n_nsm.user_type_view_depcrecated,False,False,81,LOSSE VERKOOP
l10n_nsm.a_82,l10n_nsm.user_type_view_depcrecated,False,False,82,ABONNEMENTEN
l10n_nsm.a_83,l10n_nsm.user_type_view_depcrecated,False,False,83,"ONLINE BANNERS, ADVERTORIALS"
l10n_nsm.a_84,l10n_nsm.user_type_view_depcrecated,False,False,84,CUSTOM PUBLISHING
l10n_nsm.a_85,l10n_nsm.user_type_view_depcrecated,False,False,85,ROYALTIES
